p_name, pricing, p_rating
Apple iPhone 6s (Space Grey| 32 GB),29799,4.5
Apple iPhone XR (Black| 64 GB),59999,4.6
Apple iPhone 6s (Rose Gold| 32 GB),29799,4.5
Apple iPhone XR (Black| 128 GB),64999,4.6
Apple iPhone XR (White| 64 GB),59999,4.6
Apple iPhone 6s (Silver| 32 GB),29799,4.5
Apple iPhone X (Space Gray| 64 GB),69999,4.6
Apple iPhone XR ((PRODUCT)RED| 128 GB),64999,4.6
Apple iPhone XR (White| 128 GB),64999,4.6
Apple iPhone XR ((PRODUCT)RED| 64 GB),59999,4.6
Apple iPhone X (Silver| 64 GB),69999,4.6
Apple iPhone XR (Coral| 64 GB),59999,4.6
Apple iPhone XR (Blue| 64 GB),59999,4.6
Apple iPhone XR (Yellow| 64 GB),59999,4.6
Apple iPhone XS Max (Silver| 64 GB),83000,4.6
Apple iPhone XR (Coral| 128 GB),64999,4.6
Apple iPhone 6 (Space Grey| 32 GB),27999,4.4
Apple iPhone XS Max (Space Grey| 512 GB),110000,4.6
Apple iPhone 8 (PRODUCT)RED (Red| 64 GB),53490,4.7
Apple iPhone 8 (Silver| 64 GB),56999,4.6
Apple iPhone 8 (Silver| 256 GB),54999,4.6
Apple iPhone 7 Plus (Red| 128 GB),57990,4.6
Apple iPhone 8 Plus (Silver| 64 GB),51999,4.6
Apple iPhone 8 Plus (Silver| 256 GB),84900,4.6
